datetime,demand_mw,sarimax_pred,prophet_pred
2025-06-25 00:00:00,21891.0,21243.54233483385,21764.629158769807
2025-06-25 01:00:00,21020.5,20231.036828710938,20605.454467894437
2025-06-25 02:00:00,20827.0,19802.01184877779,19769.603624275478
2025-06-25 03:00:00,20268.5,18947.943068904486,18987.49668595593
2025-06-25 04:00:00,19337.5,18427.66621478509,18822.889645787527
2025-06-25 05:00:00,19841.5,18638.194090242327,19544.151842551993
2025-06-25 06:00:00,22591.5,20411.25186783417,20867.217496755577
2025-06-25 07:00:00,25148.0,22223.58900602269,22240.125990019107
2025-06-25 08:00:00,26267.5,22559.42132739021,23057.823544797524
2025-06-25 09:00:00,26519.5,22188.511455051146,23111.92061179559
2025-06-25 10:00:00,25813.0,21385.58726426419,22507.59932247438
2025-06-25 11:00:00,25198.5,21176.796245583428,21797.03741344572
2025-06-25 12:00:00,24512.5,21075.06385142764,21229.86542492496
2025-06-25 13:00:00,23929.0,20738.288492312466,21043.593374032775
2025-06-25 14:00:00,23866.5,20381.236680962622,21151.177907491416
2025-06-25 15:00:00,24590.0,20731.10098591809,21787.243683712168
2025-06-25 16:00:00,25498.0,22717.413925731642,23193.602880342212
2025-06-25 17:00:00,28442.0,25261.360561163896,25065.159287468145
2025-06-25 18:00:00,29301.5,26890.36078829118,27046.80617263568
2025-06-25 19:00:00,29430.0,27723.761566167595,28365.933046971077
2025-06-25 20:00:00,28857.0,27487.316463530737,28422.21657828374
2025-06-25 21:00:00,28104.5,26739.079988381243,27172.436648809133
2025-06-25 22:00:00,26381.5,25499.042409212285,25523.932924905675
2025-06-25 23:00:00,23614.5,22970.05828300045,23933.58039154253
2025-06-26 00:00:00,22411.0,21493.081357273284,22638.75331301248
2025-06-26 01:00:00,21181.0,20624.189359400294,21577.541129273406
2025-06-26 02:00:00,20555.0,20481.870911842576,20743.659841206645
2025-06-26 03:00:00,19790.5,19609.39583387898,19917.91660270092
2025-06-26 04:00:00,19509.5,19232.70416698148,19819.396907265866
2025-06-26 05:00:00,19790.0,19290.124919482718,20491.860532412655
2025-06-26 06:00:00,21489.0,21152.737386987465,21936.883424474905
2025-06-26 07:00:00,24161.5,23225.314249645926,23473.06588401049
2025-06-26 08:00:00,25471.0,23389.946600105923,24183.49956294017
2025-06-26 09:00:00,24986.5,22712.73058982377,23965.607968213513
2025-06-26 10:00:00,23605.5,22019.08580660372,23658.412975803
2025-06-26 11:00:00,22025.0,21630.725082015084,22891.921985191042
2025-06-26 12:00:00,20921.0,20989.910419116255,22131.9226160375
2025-06-26 13:00:00,19355.0,20652.03074195751,21689.19188004209
2025-06-26 14:00:00,17706.5,20401.568373911792,21560.359644173197
2025-06-26 15:00:00,17827.5,19392.384964314795,21293.38847040908
2025-06-26 16:00:00,20046.5,20748.567413008688,22336.42506020163
2025-06-26 17:00:00,22824.0,22446.700040182666,23800.055963233273
2025-06-26 18:00:00,25051.0,23553.328817398786,25442.472730084635
2025-06-26 19:00:00,26683.0,24124.86446673934,26464.36108939995
2025-06-26 20:00:00,26939.5,24012.973859470112,26321.1396973843
2025-06-26 21:00:00,26208.5,23435.058384070264,25042.904536406564
2025-06-26 22:00:00,24907.0,22275.865150960766,23379.965333743137
2025-06-26 23:00:00,22631.5,19836.6629446063,21709.571400491917
2025-06-27 00:00:00,20960.5,18494.021647121415,20334.51608470802
2025-06-27 01:00:00,20286.5,17939.486953226613,19350.75603513455
2025-06-27 02:00:00,19844.0,16962.37837588048,18417.278031461377
2025-06-27 03:00:00,19153.5,16377.56992898851,17717.126747557253
