datetime,post_cum_y,preds,post_preds,post_preds_lower,post_preds_upper,preds_lower,preds_upper,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2025-06-02 03:00:00,,18112.250892556134,,,,-6058833.334044728,6095057.835829841,,,,62.249107443865796,-6076883.335829841,6077007.834044728,,,
2025-06-02 04:00:00,,17630.57548059905,,,,14614.33991825791,20646.811042940193,,,,181.42451940094907,-2834.811042940193,3197.6600817420895,,,
2025-06-02 05:00:00,,17351.149169322147,,,,14738.503740970427,19963.79459767387,,,,779.3508306778531,-1833.2945976738702,3391.9962590295727,,,
2025-06-02 06:00:00,,17910.39712466513,,,,15446.692188580197,20374.102060750065,,,,2694.102875334869,230.397939249935,5157.807811419803,,,
2025-06-02 07:00:00,,20316.274222113767,,,,17930.338863164325,22702.209581063213,,,,2299.225777886233,-86.70958106321268,4685.161136835675,,,
2025-06-02 08:00:00,,22303.67847064182,,,,19965.49571025256,24641.86123103108,,,,470.3215293581816,-1867.8612310310782,2808.5042897474414,,,
2025-06-02 09:00:00,,22633.23734169691,,,,20327.312358831525,24939.16232456229,,,,-836.2373416969094,-3142.1623245622905,1469.6876411684752,,,
2025-06-02 10:00:00,,21890.729438311206,,,,19608.015721774485,24173.443154847926,,,,123.77056168879426,-2158.943154847926,2406.4842782255146,,,
2025-06-02 11:00:00,,22167.665214757755,,,,19902.420423405656,24432.91000610985,,,,-662.1652147577552,-2927.4100061098507,1603.079576594344,,,
2025-06-02 12:00:00,,21913.21189315654,,,,19661.562841580664,24164.860944732412,,,,-703.2118931565383,-2954.8609447324125,1548.437158419336,,,
2025-06-02 13:00:00,,21433.505596760355,,,,19192.716353259533,23674.294840261176,,,,-902.5055967603548,-3143.2948402611764,1338.2836467404668,,,
2025-06-02 14:00:00,,20915.3030367799,,,,18683.369476833603,23147.236596726194,,,,-898.3030367799001,-3130.236596726194,1333.6305231663973,,,
2025-06-02 15:00:00,,20601.724709469152,,,,18377.13504654482,22826.314372393485,,,,-1020.224709469152,-3244.8143723934845,1204.3649534551805,,,
2025-06-02 16:00:00,,20844.59961322328,,,,18626.185518806968,23063.013707639588,,,,-736.5996132232794,-2955.0137076395877,1481.8144811930324,,,
2025-06-02 17:00:00,,21718.515638643497,,,,19505.355710128628,23931.675567158367,,,,685.4843613565026,-1527.675567158367,2898.644289871372,,,
2025-06-02 18:00:00,,23855.748391141195,,,,21647.10332589157,26064.39345639082,,,,466.7516088588054,-1741.8934563908188,2675.3966741084296,,,
2025-06-02 19:00:00,,25507.16993761744,,,,23302.43768363537,27711.90219159951,,,,227.33006238255984,-1977.4021915995108,2432.0623163646305,,,
2025-06-02 20:00:00,,26285.298340254212,,,,24083.982263231093,28486.614417277335,,,,-391.29834025421223,-2592.6144172773347,1810.0177367689066,,,
2025-06-02 21:00:00,,26247.03690368478,,,,24048.722684605156,28445.351122764405,,,,-1731.5369036847806,-3929.851122764405,466.77731539484375,,,
2025-06-02 22:00:00,,24904.26198899157,,,,22708.600527399543,27099.923450583592,,,,-2599.7619889915695,-4795.423450583592,-404.10052739954335,,,
2025-06-02 23:00:00,,22591.620430404757,,,,20398.31497171158,24784.92588909793,,,,-3019.620430404757,-5212.925889097929,-826.3149717115812,,,
2025-06-03 00:00:00,,20099.76777669676,,,,17908.564069546308,22290.97148384721,,,,-1763.7677766967608,-3954.97148384721,427.435930453692,,,
2025-06-03 01:00:00,,18968.241157958368,,,,16778.91982374057,21157.562492176166,,,,-1344.2411579583677,-3533.5624921761664,845.080176259431,,,
2025-06-03 02:00:00,,18191.956505491115,,,,16004.327048609794,20379.58596237244,,,,-1008.4565054911145,-3196.085962372439,1179.1729513902064,,,
2025-06-03 03:00:00,,17695.377243561048,,,,15509.273296164656,19881.481190957442,,,,-1080.377243561048,-3266.481190957442,1105.7267038353439,,,
2025-06-03 04:00:00,,17152.429499789192,,,,14967.705007412806,19337.153992165582,,,,-884.929499789192,-3069.653992165582,1299.7949925871944,,,
2025-06-03 05:00:00,,16927.642259391738,,,,14744.168392307587,19111.116126475892,,,,-184.64225939173775,-2368.116126475892,1998.831607692413,,,
2025-06-03 06:00:00,,17823.686448228633,,,,15641.349078630112,20006.023817827157,,,,1539.8135517713672,-642.5238178271575,3722.1509213698882,,,
2025-06-03 07:00:00,,20315.091663539955,,,,18133.78928833088,22496.39403874903,,,,2215.4083364600447,34.10596125097072,4396.710711669119,,,
2025-06-03 08:00:00,,22888.409215726293,,,,20708.051233482336,25068.767197970246,,,,1430.590784273707,-749.7671979702463,3610.948766517664,,,
2025-06-03 09:00:00,,24110.052533338276,,,,21930.557805181732,26289.54726149482,,,,530.9474666617243,-1648.5472614948194,2710.442194818268,,,
2025-06-03 10:00:00,,24396.652688999522,,,,22217.94832887857,26575.35704912047,,,,-1184.652688999522,-3363.35704912047,994.0516711214295,,,
2025-06-03 11:00:00,,23143.619696231148,,,,20965.640047935078,25321.599344527214,,,,-712.6196962311478,-2890.5993445272143,1465.3599520649223,,,
2025-06-03 12:00:00,,22489.778569533875,,,,20312.464336765348,24667.092802302403,,,,-1266.2785695338753,-3443.5928023024026,911.035663234652,,,
2025-06-03 13:00:00,,21431.119515835333,,,,19254.417018549244,23607.822013121426,,,,-1503.119515835333,-3679.8220131214257,673.582981450756,,,
2025-06-03 14:00:00,,20321.43522776967,,,,18145.29576331223,22497.574692227106,,,,-1115.4352277696707,-3291.5746922271064,1060.7042366877686,,,
2025-06-03 15:00:00,,19684.04049746802,,,,17508.41978919796,21859.66120573808,,,,-332.5404974680205,-2508.1612057380808,1843.0802108020398,,,
2025-06-03 16:00:00,,19837.677973190668,,,,17662.535692521113,22012.820253860224,,,,1754.3220268093319,-420.8202538602236,3929.4643074788873,,,
2025-06-03 17:00:00,,22179.07915758433,,,,20004.378507959063,24353.779807209594,,,,2096.4208424156714,-78.27980720959386,4271.121492040937,,,
2025-06-03 18:00:00,,24641.60828781452,,,,22467.315641182,26815.900934447043,,,,876.8917121854793,-1297.4009344470433,3051.184358818002,,,
2025-06-03 19:00:00,,25884.58260865746,,,,23710.66718664797,28058.49803066695,,,,216.4173913425402,-1957.4980306669495,2390.33281335203,,,
2025-06-03 20:00:00,,26337.84468915904,,,,24164.278282493633,28511.411095824446,,,,-594.8446891590393,-2768.4110958244455,1578.721717506367,,,
2025-06-03 21:00:00,,25693.19034037944,,,,23519.94706111166,27866.433619647214,,,,-587.6903403794386,-2760.933619647214,1585.5529388883406,,,
2025-06-03 22:00:00,,24678.35851650184,,,,22505.414578567124,26851.30245443656,,,,-1249.8585165018412,-3422.8024544365617,923.0854214328756,,,
2025-06-03 23:00:00,,22755.923260351406,,,,20583.2567846146,24928.58973608821,,,,-1630.4232603514065,-3803.089736088212,542.2432153853988,,,
2025-06-04 00:00:00,,20682.86631491668,,,,18510.457155497217,22855.27547433614,,,,-907.3663149166787,-3079.77547433614,1265.0428445027828,,,
2025-06-04 01:00:00,,19457.020594916976,,,,17284.850184058036,21629.191005775916,,,,249.47940508302418,-1922.691005775916,2421.6498159419643,,,
2025-06-04 02:00:00,,19292.49833192183,,,,17120.549541074277,21464.447122769387,,,,-560.99833192183,-2732.9471227693866,1610.950458925723,,,
2025-06-04 03:00:00,,18390.760877453788,,,,16219.017892582884,20562.503862324687,,,,-343.26087745378754,-2515.0038623246874,1828.482107417116,,,
2025-06-04 04:00:00,,17764.642170848747,,,,15593.090380254005,19936.19396144349,,,,-73.1421708487469,-2244.6939614434887,2098.409619745995,,,
2025-06-04 05:00:00,,17575.007704161333,,,,15403.63359733714,19746.38181098553,,,,272.4922958386669,-1898.881810985531,2443.8664026628594,,,
2025-06-04 06:00:00,,18268.790297269963,,,,16097.581373534951,20439.999221004975,,,,1937.209702730037,-233.99922100497497,4108.418626465049,,,
2025-06-04 07:00:00,,20822.333716525554,,,,18651.278402318134,22993.389030732975,,,,1623.6662834744457,-547.3890307329748,3794.721597681866,,,
2025-06-04 08:00:00,,23014.68870123253,,,,20843.776275114036,25185.601127351027,,,,-224.68870123253146,-2395.6011273510267,1946.2237248859637,,,
2025-06-04 09:00:00,,23406.570944704512,,,,21235.791469234202,25577.350420174822,,,,-1671.070944704512,-3841.850420174822,499.70853076579806,,,
2025-06-04 10:00:00,,22329.53072035391,,,,20158.874980105014,24500.1864606028,,,,-1376.0307203539087,-3546.6864606027993,794.6250198949856,,,
2025-06-04 11:00:00,,21600.83269601212,,,,19430.292141088154,23771.373250936085,,,,-1474.3326960121194,-3644.8732509360852,696.2078589118464,,,
2025-06-04 12:00:00,,20696.744652969122,,,,18526.311347457122,22867.177958481123,,,,-516.7446529691224,-2687.177958481123,1653.6886525428781,,,
2025-06-04 13:00:00,,20446.55670066985,,,,18276.223275534037,22616.890125805665,,,,-1073.5567006698511,-3243.890125805665,1096.7767244659626,,,
2025-06-04 14:00:00,,19703.515261607492,,,,17533.274871584657,21873.755651630327,,,,-741.015261607492,-2911.2556516303266,1429.2251284153426,,,
2025-06-04 15:00:00,,19422.962696668495,,,,17252.808980776506,21593.11641256048,,,,-307.9626966684955,-2478.116412560481,1862.1910192234936,,,
2025-06-04 16:00:00,,20010.96658198169,,,,17840.893627296202,22181.03953666718,,,,905.533418018309,-1264.53953666718,3075.606372703798,,,
2025-06-04 17:00:00,,21899.576014228052,,,,19729.578322620437,24069.573705835668,,,,1534.4239857719476,-635.5737058356681,3704.4216773795633,,,
2025-06-04 18:00:00,,24081.607298225743,,,,21911.67975578859,26251.53484066289,,,,1142.8927017742571,-1027.034840662891,3312.820244211409,,,
2025-06-04 19:00:00,,25532.83016395779,,,,23362.96801287339,27702.692315042194,,,,750.1698360422088,-1419.6923150421935,2920.031987126611,,,
2025-06-04 20:00:00,,26243.802710911314,,,,24074.001523544077,28413.603898278554,,,,266.6972890886864,-1903.103898278554,2436.498476455923,,,
2025-06-04 21:00:00,,26248.134480767254,,,,24078.39013578369,28417.87882575082,,,,-519.634480767254,-2689.3788257508204,1650.1098642163088,,,
2025-06-04 22:00:00,,25262.218434377093,,,,23092.527094716657,27431.90977403753,,,,-1056.7184343770932,-3226.409774037529,1112.9729052833427,,,
